Star Trek | Action, Adventure, Sci-Fi | PG - 13 | 2H 7Min | y J.J. Abrams | Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana
Star Trek V: The Final Frontier | Action, Adventure, Fantasy |  R  | 1H 47Min | y William Shatner | William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan
Star Trek: First Frontier | Sci-Fi |  R  | 1H 25Min | y Kenneth Smith | Robert Pralgo, Tara Ochs, Mark Ashworth, Paul Telfer
Star Trek: Captain Pike | Action, Adventure, Sci-Fi |  R  |  | y Todd Shawn | Eric Roberts, Chase Masterson, Ray Wise, Linda Park
Star Trek: Horizon | Action, Adventure, Sci-Fi |  R  | 1H 42Min | y Tommy Kraft | Paul Lang, Marc Bowers, Ryan Webber, Callie Bussell
Star Trek III: Redemption | Animation, Sci-Fi |  R  | 4H 12Min | y Brandon M. Bridges | Majel Barrett, Brandon M
Star Trek II: Retribution | Animation, Sci-Fi |  R  | 3H 17Min | y Brandon M. Bridges | Majel Barrett, Brandon M
Star Trek: Temporal Anomaly | Action, Adventure, Sci-Fi |  R  |  | y Samuel Cockings | Marcus Churchill, Kilian McIntosh, Chris Burdett, Ashley Cook
Star Trek: The Final Darkness | Sci-Fi |  R  | 1H 25Min | y George Kayaian | Michael J
Star Trek: The Infinite Chain | Sci-Fi |  R  | 1H 48Min | y George Kayaian | Helen Kayaian, Roland Marton, Joseph Marenus, Harold McLaughlin
Star Trek World Tour |  |  R  |  | y Winrich Kolbe | John de Lancie, Owen de Lancie, Steve Richards, Armin Scheuten
Star Trek: Enterprise - In a Time of War | Documentary |  R  | 1H 30Min | y Roger Lay Jr. | Scott Bakula, Rick Berman, John Billingsley, Chris Black
Star Trek: The Paradise Makers | Animation, Adventure, Sci-Fi |  R  | 2H 13Min | y Gaston Huckabay | Glen Averoigne, Robin Bernier, Wes Chambers, Matthew Fisher
Star Trek: Dark Horizon | Sci-Fi |  R  | 1H 29Min | y Tom Jones | Max Logan, Tom Jones, Clara Bardeen, Winston Jayna
Star Trek: Inside the Roddenberry Vault | Documentary |  R  |  | y Roger Lay Jr. | Stanley Adams, Mark A
Star Trek I: Specter of the Past | Animation, Sci-Fi |  R  | 3H 9Min | y Brandon M. Bridges | Brandon M
Star Trek: The Journey to the Silver Screen | Documentary |  R  | 2H 26Min | y Roger Lay Jr. | Mark A
Star Trek: Enterprise - Uncharted Territory | Documentary |  R  | 1H 30Min | y Roger Lay Jr. | Scott Bakula, Rick Berman, John Billingsley, Chris Black
Star Trek: Incident at Beta 9 | Sci-Fi |  R  |  | y George Kayaian | Michael J
Star Trek: Enterprise - In Conversation - The First Crew | Documentary |  R  | 1H 30Min | y Roger Lay Jr. | Nina Xining Zuo, Scott Bakula, John Billingsley, Jolene Blalock
To the Journey: Looking Back at Star Trek: Voyager | Documentary, Sci-Fi |  R  |  | y David Zappone | Jeri Ryan, Tim Russ, Kate Mulgrew, Roxann Dawson
Star Trek Enterprise II: Der Anfang vom Ende | Animation, Sci-Fi |  R  |  | y Jürgen Kaiser | Lars von Velsen, René Dawn-Claude, Sabrina Heuer-Diakow, Valentin Gagarin
Stardate Revisited: The Origin of Star Trek - The Next Generation | Documentary |  R  | 1H 35Min | y Roger Lay Jr. | Rick Berman, LeVar Burton, James L
In Conversation: Writing Star Trek: Enterprise | Documentary |  R  | 1H 37Min | y Roger Lay Jr. | Chris Black, André Bormanis, Brannon Braga, David A
Relativity: The Family Saga of Star Trek - The Next Generation | Documentary |  R  |  | y Roger Lay Jr. | Rick Berman, Brannon Braga, LeVar Burton, Dan Curry
Mr. Plinkett&apos;s Star Trek 2009 Review | Comedy |  R  | 1H 7Min | y Mike Stoklasa | Mike Stoklasa
Star Trek: The Next Generation - The Sky&apos;s the Limit - The Eclipse of Star Trek: The Next Generation | Documentary |  R  | 1H 30Min | y Roger Lay Jr. | Rick Berman, Brannon Braga, LeVar Burton, James L
